z,zrel,A,log10A
1611.592,0.36551496062992117,1.531,0.18497519069826102
1611.683,0.3654791338582677,1.5051,0.17756535574741397
1611.775,0.3654429133858267,1.0335999999999999,0.014352500651008801
1611.867,0.3654066929133858,1.4366999999999999,0.15736609176227012
1622.5,0.3612204724409449,1.5254,0.18338374205269517
1633.5,0.3568897637795275,1.5752999999999997,0.19736327300671933
1644.5,0.35255905511811025,1.616,0.20844135643856737
1655.5,0.34822834645669287,1.5254,0.18338374205269517
1666.5,0.3438976377952756,1.2998,0.1138765326310525
1666.683,0.3438255905511811,1.3664,0.13557785334492986
1677.5,0.3395669291338582,1.6658999999999997,0.22164892819222892
1677.592,0.3395307086614173,1.6456,0.21632427868666756
1688.5,0.33523622047244095,3.4261999999999997,0.5348127107489293
1688.592,0.33519999999999994,3.1562,0.4991645154956571
1699.5,0.33090551181102357,3.0675,0.48678457139904185
1699.683,0.3308334645669292,2.9233,0.46587338657160104
1710.5,0.3265748031496063,2.4296,0.3855347789102088
1721.5,0.322244094488189,4.127,0.6156344688774159
1732.5,0.31791338582677164,2.8122999999999996,0.4490616468581412
1732.592,0.31787716535433064,2.8844,0.46005548688888637
1743.5,0.3135826771653544,3.3633,0.5267656072889625
1754.5,0.309251968503937,3.9938,0.6013863126450524
1757.25,0.30816929133858273,3.5927999999999995,0.5554330420546583
1757.342,0.3081330708661417,2.6103999999999994,0.4167070607798184
1773.75,0.3016732283464567,2.0608,0.3140358456797181
1786.4,0.2966929133858267,3.2832,0.5162973390957034
1795.75,0.29301181102362206,1.7124,0.23360521916227173
1801.342,0.2908102362204724,2.9256,0.46621494732998797
1801.617,0.29070196850393704,3.256,0.5126843962171637
1802.35,0.2904133858267717,2.9244,0.4660367752323491
1810.6,0.28716535433070867,2.1388,0.33017017542830296
1817.75,0.2843503937007874,2.9128,0.4643106659258873
1823.342,0.28214881889763777,2.7155999999999993,0.4338658000023533
1823.433,0.2821129921259843,3.2755999999999994,0.5152908624415229
1823.617,0.2820405511811024,3.6231999999999998,0.5590923076749008
1828.75,0.28001968503937,5.0068,0.6995602435596489
1834.342,0.2778181102362204,4.877599999999999,0.6882061820138635
1839.842,0.27565275590551175,3.7407999999999997,0.572964489481746
1845.25,0.2735236220472441,4.0192,0.6041396177210833
1845.342,0.2734874015748031,4.5092,0.6540994983294344
1845.433,0.27345157480314963,4.918,0.6917885244026983
1845.525,0.2734153543307086,3.7523999999999997,0.574309127290558
1845.617,0.27337913385826773,4.4276,0.6461683787740822
1845.708,0.27334330708661414,4.2812,0.6315655167545393
1867.25,0.26486220472440947,1.9,0.2787536009528289
1867.342,0.26482598425196846,2.1895999999999995,0.34036478440206713
1867.433,0.264790157480315,2.0787999999999998,0.31781270815082185
1867.525,0.264753937007874,2.7952,0.44641288763885567
1867.617,0.2647177165354331,2.3447999999999998,0.3701058054303791
1867.708,0.2646818897637795,2.1992,0.34226472683541204
